"values","lat","long","date"
2.94,47.657997,-122.317634,2018-03-31
2.73,47.657997,-122.317634,2018-04-30
2.74,47.657997,-122.317634,2018-05-31
1.6,47.657997,-122.317634,2018-06-30
0.75,47.657997,-122.317634,2018-07-31
0.06,47.657997,-122.317634,2018-08-31
1.41,47.657997,-122.317634,2018-09-30
2.77,47.657997,-122.317634,2018-10-31
5.01,47.657997,-122.317634,2018-11-30
6.44,47.657997,-122.317634,2018-12-31
9.52,47.657997,-122.317634,2018-01-31
2.81,47.657997,-122.317634,2018-02-28
1.11,47.657997,-122.317634,2018-03-31
1.96,47.657997,-122.317634,2018-04-30
1.47,47.657997,-122.317634,2018-05-31
1.7,47.657997,-122.317634,2018-06-30
0.07,47.657997,-122.317634,2018-07-31
0.07,47.657997,-122.317634,2018-08-31
1.31,47.657997,-122.317634,2018-09-30
1.31,47.657997,-122.317634,2018-10-31
12.18,47.657997,-122.317634,2018-11-30
7.42,47.657997,-122.317634,2018-12-31
2.94,47.657997,-122.317634,2018-01-31
1.92,47.657997,-122.317634,2018-02-28
2.86,47.657997,-122.317634,2018-03-31
0.59,47.657997,-122.317634,2018-04-30
0,47.657997,-122.317634,2018-05-31
0,47.657997,-122.317634,2018-06-30
0.75,47.657997,-122.317634,2018-07-31
0.88,47.657997,-122.317634,2018-08-31
2.08,47.657997,-122.317634,2018-09-30
2.69,47.657997,-122.317634,2018-10-31
2.76,47.657997,-122.317634,2018-11-30
9.83,47.657997,-122.317634,2018-12-31
4.42,47.657997,-122.317634,2018-01-31
4.04,47.657997,-122.317634,2018-03-31
2.25,47.657997,-122.317634,2018-04-30
0.68,47.657997,-122.317634,2018-05-31
1.68,47.657997,-122.317634,2018-06-30
0.37,47.657997,-122.317634,2018-07-31
3.14,47.657997,-122.317634,2018-08-31
0.73,47.657997,-122.317634,2018-09-30
2.27,47.657997,-122.317634,2018-10-31
4.65,47.657997,-122.317634,2018-11-30
4,47.657997,-122.317634,2018-12-31
3.72,47.657997,-122.317634,2018-01-31
1.82,47.657997,-122.317634,2018-02-28
3.75,47.657997,-122.317634,2018-03-31
2.97,47.657997,-122.317634,2018-04-30
4.29,47.657997,-122.317634,2018-05-31
0.11,47.657997,-122.317634,2018-06-30
0.1,47.657997,-122.317634,2018-07-31
0.76,47.657997,-122.317634,2018-08-31
2.05,47.657997,-122.317634,2018-09-30
4.98,47.657997,-122.317634,2018-10-31
8.72,47.657997,-122.317634,2018-11-30
2.23,47.657997,-122.317634,2018-12-31
6.69,47.657997,-122.317634,2018-01-31
3.2,47.657997,-122.317634,2018-02-28
